id	log2FoldChange	padj	significant	label
E01136	-0.257198	8.35190236710719e-24	Unchanged	-
E01138	1.20587	1.73124244627433e-53	EHBIO_UP	-
E01139	0.0923679	0.108986959020753	Unchanged	-
E01141	5.52152	2.55744789693717e-63	EHBIO_UP	-
E01142	0.0600251	0.404084948318529	Unchanged	-
E01143	-0.100083	0.286246712354167	Unchanged	-
E01148	-0.430108	2.2589535468478e-187	Unchanged	-
E01149	-0.666391	7.30442016207402e-49	Unchanged	-
E01151	-1.05276	1.86735820043866e-05	Baodian_UP	-
E01152	-0.666135	0.847517415536992	Unchanged	-
E01153	-2.32661	0.0185374865932356	Baodian_UP	-
